id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
id_43823,28,management,single,tertiary,no,285,yes,no,unknown,26,jun,303,4,,0,unknown,0
id_32289,34,blue-collar,married,secondary,no,934,no,yes,cellular,18,nov,143,2,132,1,other,0
id_10523,46,technician,married,secondary,no,656,no,no,cellular,5,feb,101,4,,0,unknown,0
id_43951,34,services,single,secondary,no,2,yes,no,unknown,20,may,127,3,,0,unknown,0
id_40992,41,blue-collar,married,primary,no,1352,yes,no,cellular,13,may,49,2,,0,unknown,0
id_12681,65,retired,married,primary,no,2880,no,no,cellular,23,apr,163,1,,0,unknown,1
id_41178,57,blue-collar,married,primary,no,495,no,no,cellular,18,aug,687,4,,0,unknown,1
id_35102,37,management,married,tertiary,no,650,yes,,unknown,26,may,210,1,,0,unknown,0
id_34750,29,technician,married,secondary,no,265,yes,no,cellular,19,aug,160,2,,0,unknown,0
id_1406,50,blue-collar,married,secondary,no,407,yes,yes,cellular,7,aug,233,2,,0,unknown,0
id_2153,52,blue-collar,married,tertiary,no,1779,no,no,cellular,19,nov,1195,3,160,1,failure,0
id_17866,35,technician,single,secondary,no,5212,yes,no,cellular,7,may,303,2,,0,unknown,0
id_36237,18,blue-collar,single,secondary,no,420,yes,no,cellular,16,apr,478,1,,0,unknown,1
id_43255,50,management,married,secondary,no,4873,no,no,telephone,6,feb,381,6,213,9,failure,0
id_5735,55,blue-collar,married,primary,no,762,no,no,unknown,18,jun,66,1,,0,unknown,0
id_12246,42,management,married,tertiary,no,55,yes,no,cellular,17,nov,57,1,126,3,failure,0
id_19188,37,blue-collar,single,primary,no,3,no,no,unknown,5,jun,21,1,,0,unknown,0
id_31616,41,technician,married,secondary,no,-3,yes,no,cellular,16,apr,138,1,300,1,failure,0
id_17398,41,services,married,secondary,no,-145,no,yes,unknown,6,jun,201,1,,0,unknown,0
id_32668,53,retired,divorced,secondary,yes,-204,no,yes,unknown,6,jun,176,1,,0,unknown,0
id_11871,58,blue-collar,married,secondary,no,1,no,yes,cellular,22,jul,138,2,,0,unknown,0
id_16593,70,retired,divorced,primary,no,479,no,no,cellular,2,jul,241,2,,0,unknown,1
id_8740,34,blue-collar,married,primary,no,3,yes,no,unknown,21,may,49,2,,0,unknown,0
id_15826,31,management,single,tertiary,no,3,yes,no,unknown,9,may,80,3,,0,unknown,0
id_32623,41,entrepreneur,married,primary,no,150,no,no,cellular,20,aug,75,2,,0,unknown,0
id_9411,34,services,single,secondary,no,1038,no,yes,unknown,3,jul,89,1,,0,unknown,0
id_37166,28,services,single,primary,no,340,no,no,unknown,4,jul,,3,,0,unknown,1
id_34844,38,technician,divorced,secondary,no,528,no,no,cellular,29,jan,212,3,226,7,failure,0
id_6701,45,admin.,single,secondary,no,10390,yes,no,cellular,20,nov,101,1,,0,unknown,0
id_2770,33,admin.,single,secondary,no,54,no,no,cellular,29,jan,399,1,,0,unknown,0
id_18544,25,student,single,tertiary,no,192,no,no,cellular,3,apr,57,2,,0,unknown,0
id_33225,61,admin.,married,primary,no,882,yes,no,cellular,30,jan,113,5,259,7,failure,0
id_20948,37,management,married,secondary,no,0,no,no,cellular,12,aug,126,2,,0,unknown,0
id_31654,31,admin.,married,secondary,no,93,yes,no,cellular,18,may,145,2,364,1,success,0
id_38719,20,housemaid,single,secondary,no,649,yes,no,cellular,14,may,131,1,367,4,failure,0
id_44317,54,management,married,tertiary,no,1459,no,no,cellular,2,oct,195,2,94,1,success,1
id_1993,36,admin.,married,secondary,no,-327,yes,no,cellular,29,jul,117,8,,0,unknown,0
id_16413,64,retired,married,primary,no,50,no,no,cellular,9,sep,162,3,92,1,success,1
id_13459,30,self-employed,married,secondary,no,580,yes,no,cellular,13,oct,834,1,152,6,failure,0
id_14583,32,self-employed,divorced,secondary,no,96,yes,no,unknown,17,jun,83,10,,0,unknown,0
id_27724,32,management,married,tertiary,no,85,no,no,unknown,14,may,82,6,,0,unknown,0
id_22147,34,blue-collar,married,secondary,no,365,yes,yes,cellular,20,apr,44,2,,0,unknown,0
id_42495,48,entrepreneur,married,tertiary,no,358,yes,no,unknown,27,may,94,5,,0,unknown,0
id_3555,29,management,single,tertiary,no,50,no,yes,cellular,31,jul,17,17,,0,unknown,0
id_13674,45,technician,married,secondary,no,1672,no,no,cellular,23,oct,79,1,,0,unknown,0
id_17791,29,blue-collar,married,primary,no,-334,no,no,cellular,10,jul,136,6,,0,unknown,0
id_41568,42,admin.,single,secondary,no,-495,yes,yes,unknown,23,may,131,1,,0,unknown,0
id_45069,32,management,married,secondary,no,4136,yes,no,cellular,12,may,94,4,,0,unknown,0
id_27615,49,blue-collar,married,secondary,no,74,yes,no,cellular,11,may,182,1,370,1,failure,0
id_33551,30,admin.,single,secondary,no,390,yes,no,unknown,8,may,67,1,,0,unknown,0
id_37184,61,technician,divorced,secondary,no,2738,no,no,cellular,3,feb,210,2,,0,unknown,0
id_10463,40,blue-collar,single,primary,no,3380,yes,no,telephone,20,nov,46,1,,0,unknown,0
id_43038,32,technician,divorced,secondary,no,-5,no,no,cellular,29,jan,131,2,164,4,other,0
id_10257,30,management,single,tertiary,no,39,yes,no,cellular,15,may,900,3,352,2,other,1
id_5286,27,entrepreneur,single,tertiary,no,218,yes,no,cellular,18,may,67,2,356,1,failure,0
id_41656,41,management,married,secondary,no,,yes,no,unknown,13,may,76,1,,0,unknown,0
id_44124,41,technician,single,tertiary,no,-93,yes,no,cellular,3,feb,186,4,251,4,failure,0
id_7820,28,blue-collar,married,secondary,no,1783,yes,no,unknown,5,jun,78,2,,0,unknown,0
id_35295,31,management,married,tertiary,no,184,no,no,cellular,5,feb,131,1,,0,unknown,0
id_7224,47,management,married,tertiary,no,4113,no,no,cellular,18,aug,128,13,,0,unknown,0
id_2873,37,management,married,tertiary,no,88,yes,no,unknown,19,may,149,10,,0,unknown,0
id_471,50,housemaid,married,primary,no,5141,no,no,unknown,9,jun,182,1,,0,unknown,0
id_10758,38,management,married,tertiary,no,52,no,no,unknown,30,may,120,3,,0,unknown,0
id_22387,45,technician,single,tertiary,no,3428,yes,no,cellular,25,jul,72,30,,0,unknown,0
id_39733,55,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,618,2,,0,unknown,0
id_28215,39,blue-collar,single,secondary,no,164,yes,no,cellular,20,apr,209,1,346,1,failure,0
id_6183,35,services,married,secondary,no,0,yes,no,cellular,12,jun,110,4,318,6,failure,0
id_18821,34,admin.,single,secondary,no,1069,no,no,cellular,20,nov,264,2,,0,unknown,0
id_41435,31,admin.,single,tertiary,no,699,yes,no,cellular,18,may,74,2,,0,unknown,0
id_19178,55,unknown,married,primary,no,10,no,no,telephone,19,oct,258,2,,0,unknown,0
id_43446,49,technician,married,secondary,no,174,yes,yes,cellular,8,jul,193,1,,0,unknown,0
id_26496,40,services,married,secondary,no,0,yes,no,cellular,31,jul,25,20,,0,unknown,0
id_33871,58,blue-collar,single,secondary,no,1187,yes,no,cellular,5,feb,28,2,,0,unknown,0
id_43113,39,management,married,tertiary,no,46,no,yes,cellular,22,aug,139,1,,0,unknown,0
id_26311,40,retired,divorced,primary,no,5800,no,no,cellular,13,aug,104,5,,0,unknown,0
id_28687,36,admin.,single,secondary,no,143,no,no,cellular,11,jul,165,2,,0,unknown,0
id_45185,30,technician,married,unknown,no,-1,no,no,unknown,8,may,,2,,0,unknown,0
id_36265,34,technician,married,tertiary,no,198,no,no,cellular,1,oct,255,1,122,2,failure,0
id_25779,51,management,married,tertiary,no,1886,no,no,cellular,18,nov,236,3,,0,unknown,0
id_11209,26,technician,single,secondary,no,249,no,no,cellular,29,jan,716,2,,0,unknown,0
id_41602,30,services,married,secondary,no,412,yes,no,unknown,7,may,214,1,,0,unknown,0
id_5448,56,management,divorced,tertiary,no,155,no,no,cellular,13,aug,312,2,,0,unknown,0
id_27155,55,management,single,tertiary,no,1100,no,no,telephone,18,aug,202,2,,0,unknown,0
id_676,29,management,single,tertiary,no,878,yes,no,cellular,16,mar,245,1,181,2,success,1
id_33356,38,management,married,tertiary,no,729,no,no,cellular,26,aug,165,13,,0,unknown,0
id_20274,56,management,married,tertiary,no,4608,no,no,telephone,1,sep,208,2,189,2,failure,0
id_16855,44,technician,married,tertiary,no,-2,no,no,cellular,3,feb,137,1,,0,unknown,0
id_219,33,admin.,married,secondary,no,114,yes,no,telephone,4,feb,198,1,,0,unknown,0
id_25653,42,blue-collar,married,primary,no,163,yes,no,unknown,29,may,59,6,,0,unknown,0
id_20926,34,entrepreneur,married,secondary,no,3115,yes,no,cellular,20,nov,506,1,183,4,failure,0
id_35304,58,admin.,married,secondary,no,304,no,yes,cellular,8,jul,235,2,,0,unknown,0
id_8754,49,services,married,secondary,no,195,yes,yes,unknown,12,may,290,6,,0,unknown,0
id_30553,40,technician,divorced,secondary,no,1335,yes,yes,cellular,29,jan,566,2,246,1,failure,0
id_16368,41,admin.,divorced,tertiary,no,995,yes,no,cellular,13,may,434,3,,0,unknown,0
id_24950,38,management,divorced,tertiary,no,4569,yes,yes,cellular,16,jul,99,1,,0,unknown,0
id_25416,32,services,single,secondary,no,292,yes,no,cellular,12,may,259,2,,0,unknown,0
id_31021,37,management,single,tertiary,no,2806,yes,no,unknown,19,jun,213,12,,0,unknown,0
id_1385,33,management,single,tertiary,no,-2,no,no,cellular,19,aug,167,4,,0,unknown,0
id_34266,41,management,married,tertiary,no,104,yes,no,unknown,6,may,1513,2,,0,unknown,0
id_6990,45,admin.,divorced,secondary,no,1112,yes,no,unknown,15,may,425,1,,0,unknown,0
id_27426,38,technician,married,secondary,no,196,yes,no,unknown,8,may,366,2,,0,unknown,0
id_42873,46,blue-collar,married,unknown,no,388,no,no,unknown,6,jun,354,4,,0,unknown,0
id_40926,32,management,married,tertiary,no,0,no,no,cellular,22,aug,206,4,,0,unknown,0
id_15656,27,self-employed,married,tertiary,no,1934,no,no,cellular,20,nov,60,1,,0,unknown,0
id_26783,29,blue-collar,married,primary,no,198,yes,no,unknown,30,may,327,2,,0,unknown,0
id_1636,,blue-collar,married,primary,no,1,no,no,unknown,9,jun,169,1,,0,unknown,0
id_30995,45,blue-collar,married,primary,no,681,yes,no,unknown,15,may,384,4,,0,unknown,0
id_1786,48,services,single,secondary,no,518,yes,no,cellular,13,may,358,1,363,1,failure,0
id_18991,27,admin.,single,secondary,no,68,yes,no,cellular,14,may,450,1,339,3,failure,0
id_5764,60,unemployed,married,tertiary,no,2,yes,no,cellular,9,jul,255,1,,0,unknown,0
id_32123,53,admin.,married,unknown,no,214,no,no,telephone,17,nov,116,2,,0,unknown,0
id_41390,41,services,married,secondary,no,-272,yes,no,cellular,28,jul,141,10,,0,unknown,0
id_7094,36,admin.,married,secondary,no,18,yes,yes,cellular,13,oct,102,1,,0,unknown,0
id_31592,47,services,divorced,secondary,no,204,yes,no,unknown,6,may,73,2,,0,unknown,0
id_39684,24,admin.,married,secondary,no,969,yes,no,unknown,4,jun,,1,,0,unknown,0
id_34013,62,admin.,married,secondary,no,,no,no,cellular,22,dec,170,1,188,9,success,1
id_26848,35,self-employed,married,secondary,no,29122,no,no,unknown,18,jun,331,2,,0,unknown,0
id_4987,33,management,married,tertiary,no,444,no,no,cellular,18,jun,238,3,,0,unknown,1
id_2017,31,management,married,tertiary,no,5879,no,no,cellular,23,oct,450,1,430,2,failure,1
id_11492,48,blue-collar,single,secondary,no,2609,yes,no,unknown,14,may,418,2,,0,unknown,0
id_38687,55,entrepreneur,married,tertiary,no,1956,no,no,cellular,15,dec,337,1,,0,unknown,1
id_1189,48,technician,married,secondary,no,142,no,no,cellular,22,aug,128,2,,0,unknown,0
id_25904,29,technician,married,secondary,no,341,yes,yes,cellular,14,may,58,11,,0,unknown,0
id_34922,36,management,married,tertiary,no,49,no,no,cellular,29,aug,59,4,,0,unknown,0
id_1124,36,management,married,tertiary,no,2123,yes,no,cellular,21,jul,231,3,,0,unknown,0
id_34396,36,technician,married,secondary,no,5116,yes,no,unknown,30,may,41,4,,0,unknown,0
